Model,Climate_Scenario,site_name,source,BC19-CR,BC38-CR,BC57-CR,BC76-CR,BC96-CR,CC-CR,,,RF05-CR,RF15-CR,RF25-CR,RF35-CR,RR00-CR,RR00-NT-CR,RR25-CR,RR25-NT-CR,RR50-CR,RR50-NT-CR
APSIM,1,KBS,Maize_Diff_Mgha,1.2,1.2,1.2,1.2,1.2,2.0,,,0.5,0.6,0.8,1.1,1.2,1.2,0.5,0.4,0.5,0.4
APSIM,1,KBS,Soybean_Diff_Mgha,0.1,0.0,0.0,0.0,0.0,-0.5,,,0.0,0.0,0.0,0.0,0.1,0.1,0.0,0.0,0.0,0.0
APSIM,1,KBS,Wheat_Diff_Mgha,-0.2,-0.2,-0.2,-0.2,-0.2,-0.4,,,-0.2,-0.2,-0.3,-0.3,-0.3,-0.2,-0.3,-0.2,-0.3,-0.2
APSIM,1,KBS,Cotton_Diff_Mgha,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
APSIM,1,KBS,Sorghum_Diff_Mgha,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Daycent,1,KBS,Maize_Diff_Mgha,NA,NA,NA,NA,NA,0.3,,,1.1,1.0,0.8,0.5,1.1,0.9,1.0,0.8,0.8,0.7
Daycent,1,KBS,Soybean_Diff_Mgha,NA,NA,NA,NA,NA,1.0,,,0.7,0.7,0.7,0.7,0.9,0.9,0.9,0.9,0.9,1.0
Daycent,1,KBS,Wheat_Diff_Mgha,NA,NA,NA,NA,NA,-0.6,,,-0.7,-0.6,-0.6,-0.5,-0.7,-0.4,-0.8,-0.7,-1.0,-0.8
Daycent,1,KBS,Cotton_Diff_Mgha,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Daycent,1,KBS,Sorghum_Diff_Mgha,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
APSIM,5,KBS,Maize_Diff_Mgha,-5.0,-5.0,-5.0,-5.0,-5.0,-2.5,,,-6.2,-6.2,-6.1,-6.0,-5.0,-4.7,-6.2,-5.9,-6.2,-5.9
APSIM,5,KBS,Soybean_Diff_Mgha,0.3,0.3,0.3,0.3,0.3,0.4,,,0.5,0.5,0.5,0.5,0.3,0.2,0.5,0.4,0.5,0.4
APSIM,5,KBS,Wheat_Diff_Mgha,-0.8,-0.8,-0.8,-0.8,-0.8,-0.4,,,-0.9,-0.9,-0.9,-0.9,-0.9,-1.0,-0.6,-0.8,-0.4,-0.5
APSIM,5,KBS,Cotton_Diff_Mgha,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
APSIM,5,KBS,Sorghum_Diff_Mgha,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Daycent,5,KBS,Maize_Diff_Mgha,NA,NA,NA,NA,NA,-2.4,,,-2.9,-2.9,-2.9,-2.9,-2.9,-3.6,-3.0,-3.7,-3.1,-3.8
Daycent,5,KBS,Soybean_Diff_Mgha,NA,NA,NA,NA,NA,-0.1,,,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.1,-0.2,-0.1,-0.2
Daycent,5,KBS,Wheat_Diff_Mgha,NA,NA,NA,NA,NA,1.2,,,1.5,1.5,1.4,1.4,1.6,1.7,1.3,1.5,1.0,1.2
Daycent,5,KBS,Cotton_Diff_Mgha,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Daycent,5,KBS,Sorghum_Diff_Mgha,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
