"","Model","scenario_abbrev","crop","n_count"
"1","APSIM","CC-CR","Cotton",6
"2","APSIM","CC-CR","Sorghum",3
"3","APSIM","CC-NT-CR","Cotton",7
"4","APSIM","CC-NT-CR","Sorghum",3
"5","APSIM","CN","Cotton",8
"6","APSIM","RR00-CR","Cotton",5
"7","APSIM","RR00-CR","Sorghum",4
"8","APSIM","RR00-NT-CR","Cotton",5
"9","APSIM","RR00-NT-CR","Sorghum",4
"10","Daycent","CC-CR","Cotton",6
"11","Daycent","CC-CR","Sorghum",3
"12","Daycent","CC-NT-CR","Cotton",7
"13","Daycent","CC-NT-CR","Sorghum",3
"14","Daycent","CN","Cotton",8
"15","Daycent","RR00-CR","Cotton",5
"16","Daycent","RR00-CR","Sorghum",4
"17","Daycent","RR00-NT-CR","Cotton",5
"18","Daycent","RR00-NT-CR","Sorghum",4
"19","Ensemble","CC-CR","Cotton",12
"20","Ensemble","CC-CR","Sorghum",6
"21","Ensemble","CC-NT-CR","Cotton",14
"22","Ensemble","CC-NT-CR","Sorghum",6
"23","Ensemble","CN","Cotton",16
"24","Ensemble","RR00-CR","Cotton",10
"25","Ensemble","RR00-CR","Sorghum",8
"26","Ensemble","RR00-NT-CR","Cotton",10
"27","Ensemble","RR00-NT-CR","Sorghum",8
"28","Observed","CC-CR","Cotton",46
"29","Observed","CC-CR","Sorghum",18
"30","Observed","CC-NT-CR","Cotton",46
"31","Observed","CC-NT-CR","Sorghum",18
"32","Observed","CN","Cotton",20
"33","Observed","RR00-CR","Cotton",36
"34","Observed","RR00-CR","Sorghum",22
"35","Observed","RR00-NT-CR","Cotton",36
"36","Observed","RR00-NT-CR","Sorghum",22
